segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
40-99,PAYER,Shuffle,22.4542,23.3304,-0.8763,1146,22.6501,23.534,-0.8839,8.6219,18.1533,30.3509,44.6241,8.5244,19.4713,32.7823,47.3192,-4.0049,-0.9782,1.1341,4.1328,10052
40-99,PAYER,Comet,11.5882,13.199,-1.6107,1106,12.1121,13.7957,-1.6835,3.7833,8.5473,14.8353,22.1958,5.1359,10.6131,17.8884,25.4014,-4.0985,-1.3223,0.0281,1.9411,10052
40-99,PAYER,Red,21.4403,27.0692,-5.6289,1152,21.5148,27.1632,-5.6484,11.0561,19.4287,30.0796,40.0667,10.0037,22.9869,38.7579,53.8861,-9.6071,-4.2728,0.8828,5.7768,10052
40-99,PAYER,Chuck,21.7388,25.9576,-4.2189,1150,21.8522,26.093,-4.2409,10.8972,21.0911,30.4061,38.8173,9.3695,22.9095,36.2581,50.7663,-7.6084,-3.0594,1.8365,7.4833,10052
40-99,PAYER,Bomb,16.0052,18.5848,-2.5796,1143,16.1872,18.7962,-2.6089,6.8954,13.8563,23.1568,31.6514,5.5143,15.1711,26.379,39.4338,-5.0102,-1.7218,1.1668,5.0439,10052
40-99,PAYER,UL Bomb,21.3884,29.6116,-8.2232,732,33.7773,46.7637,-12.9863,0.0,10.0,34.42,62.2663,0.0,11.5122,32.1964,70.7142,-2.2168,0.0,5.8827,17.9252,10052
40-99,PAYER,UL Chuck,60.5277,50.8633,9.6644,1074,65.149,54.7467,10.4022,22.149,42.2995,94.0469,137.2451,13.5143,31.1259,64.9412,112.9714,0.4603,9.5514,27.0432,59.5429,10052
40-99,PAYER,UL Red,95.1471,66.8036,28.3434,1125,97.7689,68.6444,29.1244,40.8477,85.3098,143.7652,184.2355,23.3361,49.59,86.9914,136.0285,8.0714,26.142,56.543,86.6915,10052
40-99,PAYER,Unlimited Lives,2582.7491,0.0,2582.7491,1155,2584.9853,0.0,2584.9853,963.7755,2049.7913,3684.3577,5435.0645,0.0,0.0,0.0,0.0,963.7755,2049.7913,3684.3577,5435.0645,10052
40-99,PAYER,SPT,3719.4559,0.0,3719.4559,1149,3742.1158,0.0,3742.1158,1477.3248,3152.2164,4414.4132,7560.6968,0.0,0.0,0.0,0.0,1477.3248,3152.2164,4414.4132,7560.6968,10052
40-99,PAYER,SPTx2,26.1721,0.0,26.1721,905,33.4309,0.0,33.4309,10.0,19.6392,40.0,60.0,0.0,0.0,0.0,0.0,10.0,19.6392,40.0,60.0,10052
100+,NONPAYER,HC,2267.2461,2147.0588,120.1872,1207,2267.2461,2147.0588,120.1872,738.8751,1222.7452,2265.3313,6277.9239,674.2982,1202.523,2121.8077,5598.3077,-129.315,-35.8237,232.2165,647.0088,6294
100+,NONPAYER,Slingshot,30.6363,22.9064,7.7299,1207,30.6363,22.9064,7.7299,8.9437,14.7429,24.1655,58.875,7.319,15.0772,25.4679,56.2079,-3.2208,-0.3337,4.6942,11.365,6294
100+,NONPAYER,Shuffle,29.2187,25.6537,3.565,1207,29.2187,25.6537,3.565,7.6249,12.9836,22.624,58.3227,6.1423,13.0461,23.267,55.072,-3.0,-0.1481,4.6085,10.8972,6294
100+,NONPAYER,Comet,17.8368,19.6313,-1.7945,1198,17.9708,19.7788,-1.808,3.0,4.8903,9.7335,29.47,4.6025,7.6481,12.4671,28.3979,-4.0,-2.6151,0.1321,3.2197,6294
100+,NONPAYER,Red,19.7755,18.6495,1.1259,1200,19.8908,18.7583,1.1325,9.2814,14.8923,22.4946,45.9226,4.4803,12.2607,22.8895,41.7745,-4.2579,1.1038,6.3523,11.2221,6294
100+,NONPAYER,Chuck,21.71,18.7688,2.9412,1200,21.8367,18.8783,2.9583,11.201,17.2356,24.7453,46.824,3.9527,12.8367,24.3662,42.6738,-3.2451,2.8831,9.2991,14.5721,6294
100+,NONPAYER,Bomb,16.6686,13.6843,2.9843,1199,16.7798,13.7756,3.0042,6.4556,10.6119,16.846,42.4236,2.1199,8.5528,15.6239,31.0923,-2.6329,1.721,6.2366,10.5958,6294
100+,NONPAYER,UL Bomb,14.0099,10.6678,3.3422,555,30.4685,23.2,7.2685,0.0,0.2126,21.6722,48.0201,0.0,0.0141,14.5135,34.4377,0.0,0.0,3.5992,12.2845,6294
100+,NONPAYER,UL Chuck,44.1715,29.8583,14.3132,1059,50.3447,34.0312,16.3135,15.0,27.9602,46.5556,114.9202,10.812,20.8326,36.3759,70.8758,0.6976,6.5684,16.8869,42.2068,6294
100+,NONPAYER,UL Red,67.3115,41.3405,25.971,1133,71.7079,44.0406,27.6673,30.2347,51.9167,83.3559,160.8353,17.2634,33.014,55.2354,88.1616,5.5913,16.7767,34.3125,67.8166,6294
100+,NONPAYER,Unlimited Lives,2621.3546,0.0671,2621.2875,1199,2638.8449,0.0676,2638.7773,877.6531,1474.8127,2714.0027,7419.8887,0.0,0.0,0.0,0.0,877.6531,1474.8127,2714.0027,7419.8887,6294
100+,NONPAYER,SPT,4568.7042,0.0,4568.7042,1187,4645.6832,0.0,4645.6832,1476.0306,2918.9243,4601.513,8910.4714,0.0,0.0,0.0,0.0,1476.0306,2918.9243,4601.513,8910.4714,6294
100+,NONPAYER,SPTx2,20.9114,0.0,20.9114,723,34.9101,0.0,34.9101,0.0,10.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,60.0,6294
100+,PAYER,HC,4251.3921,4276.4851,-25.0931,202,4251.3921,4276.4851,-25.0931,1595.0238,2657.5903,4975.25,9855.9,1685.7143,2692.5,5117.1875,9795.0,-151.2143,-51.1167,73.7619,333.6,1451
100+,PAYER,Slingshot,36.6287,32.9604,3.6683,202,36.6287,32.9604,3.6683,13.7778,22.2333,37.3333,77.45,16.4762,25.8333,43.0,69.8,-5.0,-2.6111,0.625,8.0,1451
100+,PAYER,Shuffle,35.0347,30.9455,4.0891,202,35.0347,30.9455,4.0891,12.4688,21.1889,35.0,74.05,14.7857,23.1111,38.0238,67.7,-4.7857,-2.3333,1.0,9.75,1451
